사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
Nov-20,1호선,1,서울역,"970,425","919,628","163,629","153,605"
Nov-20,1호선,10,동묘앞,"123,243","131,205","130,264","131,631"
Nov-20,1호선,2,시청,"470,299","476,546","61,681","59,054"
Nov-20,1호선,3,종각,"779,391","757,727","111,601","103,762"
Nov-20,1호선,4,종로3가,"415,759","380,983","253,486","236,161"
Nov-20,1호선,5,종로5가,"342,225","351,197","205,830","197,086"
Nov-20,1호선,6,동대문,"209,906","213,469","106,156","108,389"
Nov-20,1호선,7,신설동,"263,272","252,254","100,228","93,219"
Nov-20,1호선,8,제기동,"223,204","216,130","240,998","257,699"
Nov-20,1호선,9,청량리(서울시립대입구),"320,602","315,752","238,000","240,168"
Nov-20,2호선,11,시청,"524,632","511,719","44,104","39,821"
Nov-20,2호선,12,을지로입구,"884,315","901,765","82,722","77,068"
Nov-20,2호선,13,을지로3가,"449,301","443,587","63,347","62,139"
Nov-20,2호선,14,을지로4가,"242,047","239,721","76,027","74,017"
Nov-20,2호선,15,동대문역사문화공원(DDP),"275,264","313,519","45,136","47,079"
Nov-20,2호선,16,신당,"280,186","287,757","81,594","83,765"
Nov-20,2호선,17,상왕십리,"306,144","291,777","53,389","53,577"
Nov-20,2호선,18,왕십리(성동구청),"383,668","313,343","43,824","37,688"
Nov-20,2호선,19,한양대,"193,058","210,112","11,357","11,982"
Nov-20,2호선,20,뚝섬,"464,807","502,197","49,093","49,896"
Nov-20,2호선,21,성수,"724,190","801,708","87,999","89,600"
Nov-20,2호선,22,건대입구,"854,644","931,533","75,583","78,360"
Nov-20,2호선,23,구의(광진구청),"514,889","498,996","85,263","87,241"
Nov-20,2호선,24,강변(동서울터미널),"755,109","757,373","98,010","96,939"
Nov-20,2호선,25,잠실나루,"291,315","280,661","67,255","67,642"
Nov-20,2호선,26,잠실(송파구청),"1,604,232","1,593,912","148,702","142,275"
Nov-20,2호선,27,잠실새내,"441,550","446,894","80,892","81,300"
Nov-20,2호선,28,종합운동장,"168,002","190,987","33,308","34,740"
Nov-20,2호선,29,삼성(무역센터),"1,201,492","1,236,299","92,887","85,746"
Nov-20,2호선,30,선릉,"1,178,665","1,057,066","178,261","159,007"
Nov-20,2호선,31,역삼,"1,053,138","1,175,501","125,579","126,605"
Nov-20,2호선,32,강남,"2,019,373","2,046,712","144,790","129,444"
Nov-20,2호선,33,교대(법원.검찰청),"723,089","816,436","128,237","142,660"
Nov-20,2호선,34,서초,"499,790","485,481","66,637","65,907"
Nov-20,2호선,35,방배,"393,581","412,395","61,361","60,295"
Nov-20,2호선,36,사당,"831,809","950,225","147,808","142,005"
Nov-20,2호선,37,낙성대(강감찬),"636,704","606,326","88,522","90,319"
Nov-20,2호선,38,서울대입구(관악구청),"1,103,420","1,071,620","151,581","143,923"
Nov-20,2호선,39,봉천,"517,380","463,785","117,347","117,122"
Nov-20,2호선,40,신림,"1,494,668","1,430,345","185,327","187,900"
Nov-20,2호선,41,신대방,"591,781","565,130","103,161","104,167"
Nov-20,2호선,42,구로디지털단지,"1,418,737","1,418,268","137,282","139,421"
Nov-20,2호선,43,대림(구로구청),"574,779","583,775","95,776","99,234"
Nov-20,2호선,44,신도림,"1,149,172","1,139,108","160,860","151,174"
Nov-20,2호선,45,문래,"467,328","480,273","64,890","64,161"
Nov-20,2호선,46,영등포구청,"493,039","501,247","83,498","82,124"
Nov-20,2호선,47,당산,"442,974","514,235","48,526","53,117"
Nov-20,2호선,48,합정,"740,497","795,825","57,542","57,413"
Nov-20,2호선,49,홍대입구,"1,306,396","1,406,694","81,110","78,081"
Nov-20,2호선,50,신촌,"754,575","787,856","100,891","98,402"
Nov-20,2호선,51,이대,"293,054","305,859","41,815","42,667"
Nov-20,2호선,52,아현,"213,880","201,713","53,933","53,299"
Nov-20,2호선,53,충정로(경기대입구),"217,936","231,458","40,778","40,458"
Nov-20,2호선,54,용답,"54,724","54,228","15,114","14,269"
Nov-20,2호선,55,신답,"31,542","35,430","8,176","8,703"
Nov-20,2호선,56,신설동,"65,287","60,111","28,129","29,147"
Nov-20,2호선,57,도림천,"26,470","27,238","6,184","6,753"
Nov-20,2호선,58,양천구청,"135,840","143,592","37,410","38,202"
Nov-20,2호선,59,신정네거리,"198,302","202,836","55,405","57,267"
Nov-20,2호선,60,용두(동대문구청),"39,014","39,952","19,961","21,260"
Nov-20,3호선,61,지축,"70,251","67,536","14,242","14,751"
Nov-20,3호선,62,구파발,"444,767","422,572","95,441","90,369"
Nov-20,3호선,63,연신내,"784,350","727,106","215,557","207,004"
Nov-20,3호선,64,불광,"324,475","347,655","111,636","122,950"
Nov-20,3호선,65,녹번,"321,639","285,970","61,497","60,839"
Nov-20,3호선,66,홍제,"341,904","319,954","116,734","115,380"
Nov-20,3호선,67,무악재,"77,099","76,452","23,829","25,947"
Nov-20,3호선,68,독립문,"129,528","140,421","60,316","60,527"
Nov-20,3호선,69,경복궁(정부서울청사),"443,671","449,717","70,318","69,316"
Nov-20,3호선,70,안국,"450,527","477,168","67,847","70,133"
Nov-20,3호선,71,종로3가,"193,761","239,642","47,506","53,577"
Nov-20,3호선,72,을지로3가,"204,514","220,595","45,123","43,780"
Nov-20,3호선,73,충무로,21,0,1,0
Nov-20,3호선,74,동대입구,"177,299","190,210","30,278","34,529"
Nov-20,3호선,75,약수,"269,779","266,775","68,603","65,561"
Nov-20,3호선,76,금호,"169,952","155,271","44,585","43,604"
Nov-20,3호선,77,옥수,"191,154","198,401","47,222","47,359"
Nov-20,3호선,78,압구정,"686,391","748,014","107,288","104,198"
Nov-20,3호선,79,신사,"715,359","772,488","60,530","57,961"
Nov-20,3호선,80,잠원,"102,684","101,132","25,093","24,457"
Nov-20,3호선,81,고속터미널,"1,001,968","1,002,858","132,651","126,911"
Nov-20,3호선,82,교대(법원.검찰청),"298,492","198,682","55,695","34,413"
Nov-20,3호선,83,남부터미널(예술의전당),"666,894","687,998","96,291","97,155"
Nov-20,3호선,84,양재(서초구청),"849,979","932,695","122,491","122,921"
Nov-20,3호선,85,매봉,"252,325","243,403","50,454","46,416"
Nov-20,3호선,86,도곡,"115,406","119,121","21,955","20,091"
Nov-20,3호선,87,대치,"238,469","236,043","48,418","46,572"
Nov-20,3호선,88,학여울,"43,601","45,078","13,928","13,640"
Nov-20,3호선,89,대청,"203,630","184,056","46,792","45,075"
Nov-20,3호선,90,일원,"191,198","187,760","48,734","48,232"
Nov-20,3호선,91,수서,"362,084","366,403","86,586","85,232"
Nov-20,3호선,92,가락시장,"171,702","170,692","65,255","64,728"
Nov-20,3호선,93,경찰병원,"155,480","154,356","34,210","35,043"
Nov-20,3호선,94,오금,"137,124","122,454","23,230","22,056"
Nov-20,4호선,100,수유(강북구청),"737,253","727,278","161,766","161,629"
Nov-20,4호선,101,미아(서울사이버대학),"305,703","288,063","94,665","96,301"
Nov-20,4호선,102,미아사거리,"592,565","571,467","150,476","149,356"
Nov-20,4호선,103,길음,"436,137","419,167","93,180","92,785"
Nov-20,4호선,104,성신여대입구(돈암),"463,025","441,812","70,467","68,677"
Nov-20,4호선,105,한성대입구(삼선교),"307,876","302,043","60,506","59,361"
Nov-20,4호선,106,혜화,"738,156","752,963","108,207","106,362"
Nov-20,4호선,107,동대문,"378,573","385,693","123,619","118,631"
Nov-20,4호선,108,동대문역사문화공원(DDP),"342,642","323,468","46,940","42,253"
Nov-20,4호선,109,충무로,"553,056","576,613","99,657","99,776"
Nov-20,4호선,110,명동,"428,131","448,352","48,704","49,253"
Nov-20,4호선,111,회현(남대문시장),"440,997","470,870","135,623","134,658"
Nov-20,4호선,112,서울역,"243,530","380,890","31,384","36,733"
Nov-20,4호선,113,숙대입구(갈월),"294,013","290,527","42,888","40,369"
Nov-20,4호선,114,삼각지,"94,118","110,885","20,004","20,926"
Nov-20,4호선,115,신용산,"355,043","376,166","42,419","42,675"
Nov-20,4호선,116,이촌(국립중앙박물관),"153,503","169,762","35,140","37,678"
Nov-20,4호선,117,동작(현충원),"44,548","48,825","20,890","20,090"
Nov-20,4호선,118,총신대입구(이수),"375,776","415,370","118,071","124,742"
Nov-20,4호선,119,사당,"591,350","499,107","69,380","68,731"
Nov-20,4호선,120,남태령,"24,255","19,607","7,073","6,583"
Nov-20,4호선,95,당고개,"258,825","229,196","74,748","73,346"
Nov-20,4호선,96,상계,"408,687","370,865","97,796","95,891"
Nov-20,4호선,97,노원,"431,810","495,256","73,495","72,219"
