사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2020-11,1호선,1,서울역,753,12,"8,675","5,917","11,072","34,568","32,647","84,323","59,127","182,958","41,390","124,908","38,848","59,621","45,649","49,485","56,164","51,200","59,894","52,535","50,166","50,577","69,417","53,760","73,931","55,324","129,234","66,072","183,615","69,504","94,572","47,544","63,184","30,685","61,979","25,260","40,086","17,788","13,602","10,361",49,831,0,0,0,0,0,0
2020-11,1호선,10,동묘앞,123,1,"3,339",806,"3,256","3,710","5,769","7,812","8,088","20,840","6,810","17,339","7,547","17,530","11,792","23,349","17,177","26,998","24,148","30,958","28,516","28,971","32,662","23,891","31,980","17,500","29,852","11,973","19,668","9,191","8,718","5,955","5,118","4,028","4,856","4,011","2,979","3,821","1,107","2,751",1,"1,400",0,1,1,0,0,0
2020-11,1호선,2,시청,46,0,"1,906","3,756","2,883","18,456","5,827","55,342","7,572","159,654","8,301","75,582","9,008","31,325","13,391","28,740","15,406","25,032","19,664","25,844","24,861","21,661","33,005","19,081","38,620","16,587","69,711","16,979","129,123","16,850","48,632","7,992","38,231","4,717","37,627","3,800","21,534","2,452","6,610","1,598",22,152,0,0,0,0,0,0
2020-11,1호선,3,종각,122,0,"2,851","4,092","3,442","22,727","5,353","96,718","8,357","219,005","10,185","129,146","13,298","52,576","20,795","41,796","27,078","38,923","34,326","41,067","40,433","34,782","52,948","30,333","61,859","30,224","123,235","34,138","190,651","42,604","82,999","22,583","68,519","8,686","74,284","5,656","51,200","3,847","18,973","2,402",81,182,0,1,3,1,0,0
2020-11,1호선,4,종로3가,175,11,"3,652","3,050","3,448","11,299","4,655","22,869","7,046","65,995","9,708","70,469","17,330","55,856","26,846","54,090","36,216","53,293","44,880","55,060","48,904","48,446","56,171","40,334","62,258","34,197","71,916","31,037","94,262","34,071","54,470","17,415","39,668","7,076","44,288","5,347","32,207","3,765","11,090","2,781",51,681,2,1,1,1,1,0
2020-11,1호선,5,종로5가,90,0,"1,602","3,490","2,385","13,994","4,260","34,800","6,690","100,423","9,608","61,856","14,488","44,445","22,488","40,371","28,313","39,840","34,237","40,764","41,383","37,704","46,779","32,746","52,482","27,379","71,600","23,472","94,499","20,560","45,564","11,329","28,692","5,313","23,037","4,208","15,141","3,136","4,689","2,113",28,339,0,1,0,0,0,0
2020-11,1호선,6,동대문,655,9,"12,826","1,990","8,925","6,480","14,146","10,715","18,390","22,334","17,102","21,955","15,143","21,451","16,320","23,733","20,120","23,564","21,206","23,398","23,013","22,201","23,687","21,204","24,813","19,184","25,646","19,190","22,783","19,284","15,058","20,137","12,250","13,478","11,159","10,824","8,818","9,862","3,971","9,641",31,"1,224",0,0,0,0,0,0
2020-11,1호선,7,신설동,362,6,"8,355","2,451","7,878","7,746","16,191","21,796","23,703","57,614","15,582","33,715","13,972","19,467","16,562","16,303","17,694","16,972","20,334","18,914","20,206","16,791","21,665","17,115","28,234","17,726","39,341","20,355","56,530","24,917","20,875","17,452","13,277","10,914","12,447","10,101","7,589","8,445","2,682","6,065",19,608,0,0,1,0,1,0
2020-11,1호선,8,제기동,453,4,"4,777","1,916","7,698","7,406","20,120","18,151","29,902","39,622","20,383","33,050","21,825","34,176","29,747","40,311","36,250","41,583","39,653","45,548","43,294","45,837","47,061","39,172","43,532","28,832","40,090","23,028","35,167","24,020","16,292","17,241","10,275","10,375","8,765","9,828","6,611","8,155","2,292","5,094",11,478,1,1,3,1,0,0
2020-11,1호선,9,청량리(서울시립대입구),"1,292",16,"9,852","5,023","14,384","16,328","36,708","15,230","45,119","33,172","30,256","30,960","26,164","32,764","31,785","37,232","37,041","38,735","38,673","41,285","42,062","46,533","45,730","43,408","50,854","38,591","48,091","38,783","39,076","46,050","21,953","31,676","16,767","18,646","11,836","17,438","8,050","14,488","2,855","8,281",54,"1,281",0,0,0,0,0,0
2020-11,2호선,11,시청,24,0,867,"1,473","1,793","13,916","4,179","59,717","6,433","196,852","8,199","87,977","10,856","24,668","16,115","21,191","16,635","20,352","20,708","21,978","25,969","19,554","31,564","17,686","35,429","14,841","79,536","16,248","162,367","15,658","54,046","7,740","37,096","3,741","32,780","3,347","18,790","2,541","5,336","1,922",11,136,2,2,1,0,0,0
2020-11,2호선,12,을지로입구,93,1,"1,851","1,863","2,838","23,097","6,630","105,625","11,853","274,851","12,933","144,200","15,762","60,139","23,013","50,675","28,407","43,261","38,415","41,426","44,633","36,395","54,644","33,392","64,477","31,834","139,436","36,646","230,625","39,127","99,355","20,450","89,895","10,618","57,945","9,479","34,395","7,857","9,832","5,293",5,"2,604",0,0,0,0,0,0
2020-11,2호선,13,을지로3가,12,0,837,"1,689","1,957","16,303","4,989","59,514","8,715","141,659","9,153","67,128","10,593","29,484","14,037","21,689","15,658","19,638","19,029","21,833","22,578","19,585","26,553","17,293","33,784","17,354","70,424","19,408","120,887","23,268","49,648","12,845","33,297","6,088","33,527","4,820","26,164","3,586","10,799","2,325",7,217,0,0,0,0,0,0
2020-11,2호선,14,을지로4가,5,1,903,"1,076","1,383","11,092","2,675","29,383","5,006","74,520","6,243","42,747","8,003","22,149","11,727","19,461","14,402","17,430","15,472","17,011","18,773","16,542","22,388","14,984","26,383","12,447","50,622","10,890","65,109","9,427","30,532","5,534","15,655","2,977","12,321","2,692","7,757","2,023","2,710","1,230",5,122,0,0,0,0,0,0
2020-11,2호선,15,동대문역사문화공원(DDP),315,1,"7,209",874,"4,767","6,721","6,015","21,048","9,315","50,164","8,842","29,783","8,914","23,326","12,191","23,443","15,817","21,020","16,629","21,977","19,516","21,773","23,694","19,960","30,792","17,474","37,860","18,464","39,927","21,546","24,790","23,884","17,763","14,243","18,924","10,284","12,007","7,410","5,104","6,661",7,542,1,0,0,0,1,0
2020-11,2호선,16,신당,34,0,"6,033","1,137","10,829","7,239","24,579","15,674","41,524","34,001","24,858","22,265","16,604","16,945","16,039","17,128","17,900","17,994","19,350","18,943","19,724","19,670","20,394","20,635","23,399","23,286","28,169","29,807","31,931","41,756","20,289","28,674","14,796","17,115","12,568","16,901","8,974","13,095","3,783","9,027",3,230,0,0,0,0,0,0
2020-11,2호선,17,상왕십리,87,0,"5,162",588,"11,602","4,759","35,818","10,879","59,229","33,297","30,214","19,162","18,052","12,354","17,199","11,076","17,945","12,639","17,300","14,507","15,712","14,428","17,124","16,830","17,870","19,749","22,641","28,899","27,362","47,943","16,260","32,360","10,712","20,052","10,226","19,589","6,937","15,574","2,078","10,621",3,47,0,1,0,0,0,0
2020-11,2호선,18,왕십리(성동구청),943,6,"6,474",805,"9,109","4,842","24,173","10,897","43,016","26,937","26,420","17,780","16,596","12,737","16,574","12,994","19,470","15,719","20,570","16,713","21,036","17,030","22,723","18,517","27,538","21,722","33,764","30,477","37,572","50,624","22,622","32,578","21,570","18,745","23,648","16,623","21,898","14,335","11,652","10,698",121,250,1,1,2,1,0,0
2020-11,2호선,19,한양대,5,0,902,307,"1,917","5,264","4,652","9,979","7,781","38,691","5,489","29,930","5,445","18,676","8,374","11,914","9,841","15,025","10,115","16,494","10,841","13,532","13,363","9,159","19,120","8,859","29,966","10,658","27,581","11,790","13,113","6,479","11,242","4,491","12,068","4,315","9,019","3,677","3,580","2,835",1,19,0,0,0,0,0,0
2020-11,2호선,20,뚝섬,17,0,"3,425","2,092","7,542","12,846","18,069","31,032","26,732","124,784","15,885","77,575","12,438","29,434","13,268","22,399","15,808","22,900","18,825","25,425","21,997","23,554","25,344","23,630","33,401","25,059","52,896","28,712","110,868","38,262","54,987","23,570","31,078","13,330","27,769","11,541","18,287","9,296","5,258","6,535",6,115,0,0,0,2,0,0
2020-11,2호선,21,성수,36,0,"4,962","3,308","8,895","25,541","23,387","63,457","30,365","249,513","23,480","121,206","18,553","42,817","19,805","31,223","22,353","32,899","27,263","36,714","30,928","33,860","34,988","34,831","46,311","35,382","91,990","40,548","198,566","50,633","88,785","32,286","51,267","16,858","48,303","14,263","31,972","12,246","9,963","10,168",17,"3,554",0,1,0,0,0,0
2020-11,2호선,22,건대입구,310,17,"16,565","2,190","20,365","17,375","50,670","24,578","87,939","61,055","58,080","45,504","32,221","35,439","31,081","36,785","36,045","44,679","40,276","52,536","41,891","52,761","45,762","56,626","53,540","65,555","65,919","92,557","81,173","141,297","57,498","99,558","58,187","56,782","63,874","53,187","59,597","42,374","29,198","25,391",35,"3,647",1,0,0,0,0,0
2020-11,2호선,23,구의(광진구청),30,0,"12,944","1,159","24,017","8,969","62,032","13,964","107,040","36,993","61,150","22,580","30,566","17,459","26,002","17,613","27,075","20,102","27,405","22,600","24,816","24,463","24,434","30,741","27,974","35,982","33,257","50,286","40,223","86,281","20,539","64,763","16,266","40,650","15,857","38,882","12,887","33,368","5,624","17,874",13,"1,508",1,0,0,0,0,0
2020-11,2호선,24,강변(동서울터미널),13,0,"8,091","2,215","24,746","20,075","71,461","25,065","104,078","43,727","73,806","37,083","51,921","35,529","46,769","33,106","45,800","38,925","45,177","43,706","42,689","47,059","43,600","53,247","47,554","59,700","52,755","75,113","60,196","109,364","46,181","79,526","35,518","50,785","28,403","42,610","18,260","36,764","6,089","19,621",12,"1,092",0,0,0,0,0,0
2020-11,2호선,25,잠실나루,5,3,"2,627","1,432","10,123","8,742","35,736","20,954","44,658","35,798","26,840","24,356","19,631","16,498","19,403","14,271","18,580","17,340","17,801","18,430","18,861","16,082","20,971","16,261","25,206","17,003","30,749","23,142","29,198","36,661","13,794","27,821","10,072","16,178","7,514","15,601","5,145","13,270","1,649","8,287",7,172,0,1,0,0,0,0
2020-11,2호선,26,잠실(송파구청),107,24,"11,198","4,689","40,805","36,315","98,855","68,337","148,167","153,024","107,124","133,886","66,420","79,973","65,457","79,190","72,983","82,014","80,592","88,181","81,744","87,330","91,037","93,654","109,395","107,335","152,523","134,322","195,091","195,971","126,565","134,770","122,771","80,586","97,328","75,117","67,044","63,565","17,693","36,452",33,"1,452",0,0,1,0,1,0
2020-11,2호선,27,잠실새내,16,1,"4,680",899,"14,056","7,491","49,915","15,389","68,387","24,848","39,840","25,691","24,663","20,522","22,394","20,497","24,523","22,860","26,088","26,089","23,342","27,328","25,337","30,424","30,700","35,031","32,564","48,740","35,976","75,921","25,503","54,471","22,237","29,662","23,374","26,021","19,893","22,830","8,937","12,002",17,"1,477",0,0,0,0,0,0
2020-11,2호선,28,종합운동장,10,0,"1,466","1,029","5,326","6,266","15,899","12,547","22,044","22,797","15,675","11,549","9,448","7,849","8,545","6,792","8,680","8,350","9,272","10,830","9,266","10,127","12,908","9,683","12,631","11,789","15,951","20,910","15,569","33,046","8,228","18,029","6,641","10,052","11,470","9,792","9,749","8,617","2,523","5,153",4,516,5,4,0,0,0,0
2020-11,2호선,29,삼성(무역센터),162,1,"4,657","4,680","6,577","37,529","14,589","120,500","19,431","308,413","19,207","230,504","20,003","97,887","29,245","66,094","37,755","58,518","49,329","64,388","59,579","55,484","73,520","48,545","92,583","46,293","172,109","49,247","280,802","55,641","153,560","30,230","106,905","15,675","87,207","13,142","54,583","9,785","12,568","6,359",7,"3,130",1,0,0,0,0,0
2020-11,2호선,30,선릉,85,1,"4,214","6,031","10,038","38,064","19,630","104,839","29,155","268,905","28,179","212,032","30,545","88,369","41,220","58,252","47,739","51,279","57,693","58,982","66,226","51,143","82,775","45,156","115,397","43,807","172,892","47,143","274,474","52,424","136,505","33,350","84,475","18,951","79,962","16,040","57,714","13,101","18,001","7,810",6,394,0,0,1,0,0,0
2020-11,2호선,31,역삼,100,2,"3,679","6,975","8,133","45,489","13,472","110,760","22,870","306,947","22,234","261,866","20,819","98,416","28,737","56,206","35,693","48,480","40,906","53,769","49,499","46,280","65,086","41,605","86,636","38,909","172,088","45,780","260,773","52,609","133,570","33,964","76,781","19,253","75,160","15,668","47,784","11,385","14,689","7,684",6,59,0,0,0,0,2,0
